level,list_-6.0,list_-5.0,list_-4.0,list_-3.0,list_-2.0,list_-1.0,list_0.0,list_1.0,list_2.0,list_3.0,list_4.0,list_5.0,list_6.0
0,0.073,0.057,0.042,0.029,0.018,0.01,0,0,0,0,0,0,0
0.01,0.073,0.057,0.042,0.029,0.018,0.009,0,-0.003,-0.005,-0.0075,-0.0085,-0.009,-0.008
0.02,0.073,0.057,0.042,0.029,0.018,0.008,0,-0.006,-0.01,-0.015,-0.017,-0.018,-0.016
0.03,0.0725,0.057,0.042,0.029,0.018,0.008,0,-0.0065,-0.011,-0.0155,-0.0175,-0.018,-0.0165
0.04,0.072,0.057,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.05,0.072,0.0565,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.06,0.072,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.07,0.072,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.08,0.072,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.09,0.072,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.1,0.072,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.017
0.11,0.0719,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0171
0.12,0.0718,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0172
0.13,0.0717,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0173
0.14,0.0716,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0174
0.15,0.0715,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0175
0.16,0.0714,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0176
0.17,0.0713,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0177
0.18,0.0712,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0178
0.19,0.0711,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.0179
0.2,0.071,0.056,0.042,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.018,-0.018
0.21,0.071,0.0559,0.0419,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0181,-0.018
0.22,0.071,0.0558,0.0418,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0182,-0.018
0.23,0.071,0.0557,0.0417,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0183,-0.018
0.24,0.071,0.0556,0.0416,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0184,-0.018
0.25,0.071,0.0555,0.0415,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0185,-0.018
0.26,0.071,0.0554,0.0414,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0186,-0.018
0.27,0.071,0.0553,0.0413,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0187,-0.018
0.28,0.071,0.0552,0.0412,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0188,-0.018
0.29,0.071,0.0551,0.0411,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.0189,-0.018
0.3,0.071,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.018
0.31,0.0709,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0181
0.32,0.0708,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0182
0.33,0.0707,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0183
0.34,0.0706,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0184
0.35,0.0705,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0185
0.36,0.0704,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0186
0.37,0.0703,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0187
0.38,0.0702,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0188
0.39,0.0701,0.055,0.041,0.029,0.018,0.008,0,-0.007,-0.012,-0.016,-0.018,-0.019,-0.0189
