level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3.0,press_3.5,press_4.0,press_4.5,press_5.0,press_5.5,press_6.0
0,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.009,0.01,0.011,0.013,0.014,0.016,0.017
0.01,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00899,0.01,0.011,0.013,0.014,0.01599,0.017
0.02,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00898,0.01,0.011,0.013,0.014,0.01598,0.017
0.03,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00897,0.01,0.011,0.013,0.014,0.01597,0.017
0.04,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00896,0.01,0.011,0.013,0.014,0.01596,0.017
0.05,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00895,0.01,0.011,0.013,0.014,0.01595,0.017
0.06,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00894,0.01,0.011,0.013,0.014,0.01594,0.017
0.07,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00893,0.01,0.011,0.013,0.014,0.01593,0.017
0.08,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00892,0.01,0.011,0.013,0.014,0.01592,0.017
0.09,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00891,0.01,0.011,0.013,0.014,0.01591,0.017
0.1,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0089,0.01,0.011,0.013,0.014,0.0159,0.017
0.11,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00889,0.01,0.011,0.013,0.014,0.01589,0.017
0.12,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00888,0.01,0.011,0.013,0.014,0.01588,0.017
0.13,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00887,0.01,0.011,0.013,0.014,0.01587,0.017
0.14,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00886,0.01,0.011,0.013,0.014,0.01586,0.017
0.15,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00885,0.01,0.011,0.013,0.014,0.01585,0.017
0.16,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00884,0.01,0.011,0.013,0.014,0.01584,0.017
0.17,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00883,0.01,0.011,0.013,0.014,0.01583,0.017
0.18,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00882,0.01,0.011,0.013,0.014,0.01582,0.017
0.19,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00881,0.01,0.011,0.013,0.014,0.01581,0.017
0.2,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0088,0.01,0.011,0.013,0.014,0.0158,0.017
0.21,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00879,0.01,0.011,0.013,0.014,0.01579,0.017
0.22,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00878,0.01,0.011,0.013,0.014,0.01578,0.017
0.23,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00877,0.01,0.011,0.013,0.014,0.01577,0.017
0.24,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00876,0.01,0.011,0.013,0.014,0.01576,0.017
0.25,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00875,0.01,0.011,0.013,0.014,0.01575,0.017
0.26,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00874,0.01,0.011,0.013,0.014,0.01574,0.017
0.27,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00873,0.01,0.011,0.013,0.014,0.01573,0.017
0.28,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00872,0.01,0.011,0.013,0.014,0.01572,0.017
0.29,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00871,0.01,0.011,0.013,0.014,0.01571,0.017
0.3,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0087,0.01,0.011,0.013,0.014,0.0157,0.017
0.31,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00869,0.01,0.011,0.013,0.014,0.01569,0.017
0.32,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00868,0.01,0.011,0.013,0.014,0.01568,0.017
0.33,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00867,0.01,0.011,0.013,0.014,0.01567,0.017
0.34,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00866,0.01,0.011,0.013,0.014,0.01566,0.017
0.35,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00865,0.01,0.011,0.013,0.014,0.01565,0.017
0.36,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00864,0.01,0.011,0.013,0.014,0.01564,0.017
0.37,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00863,0.01,0.011,0.013,0.014,0.01563,0.017
0.38,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00862,0.01,0.011,0.013,0.014,0.01562,0.017
0.39,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00861,0.01,0.011,0.013,0.014,0.01561,0.017
0.4,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0086,0.01,0.011,0.013,0.014,0.0156,0.017
0.41,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00859,0.01,0.011,0.013,0.014,0.01559,0.017
0.42,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00858,0.01,0.011,0.013,0.014,0.01558,0.017
0.43,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00857,0.01,0.011,0.013,0.014,0.01557,0.017
0.44,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00856,0.01,0.011,0.013,0.014,0.01556,0.017
0.45,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00855,0.01,0.011,0.013,0.014,0.01555,0.017
0.46,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00854,0.01,0.011,0.013,0.014,0.01554,0.017
0.47,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00853,0.01,0.011,0.013,0.014,0.01553,0.017
0.48,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00852,0.01,0.011,0.013,0.014,0.01552,0.017
0.49,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00851,0.01,0.011,0.013,0.014,0.01551,0.017
0.5,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0085,0.01,0.011,0.013,0.014,0.0155,0.017
0.51,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00849,0.01,0.011,0.013,0.014,0.01549,0.017
0.52,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00848,0.01,0.011,0.013,0.014,0.01548,0.017
0.53,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00847,0.01,0.011,0.013,0.014,0.01547,0.017
0.54,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00846,0.01,0.011,0.013,0.014,0.01546,0.017
0.55,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00845,0.01,0.011,0.013,0.014,0.01545,0.017
0.56,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00844,0.01,0.011,0.013,0.014,0.01544,0.017
0.57,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00843,0.01,0.011,0.013,0.014,0.01543,0.017
0.58,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00842,0.01,0.011,0.013,0.014,0.01542,0.017
0.59,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00841,0.01,0.011,0.013,0.014,0.01541,0.017
0.6,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0084,0.01,0.011,0.013,0.014,0.0154,0.017
0.61,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00839,0.01,0.011,0.013,0.014,0.01539,0.017
0.62,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00838,0.01,0.011,0.013,0.014,0.01538,0.017
0.63,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00837,0.01,0.011,0.013,0.014,0.01537,0.017
0.64,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00836,0.01,0.011,0.013,0.014,0.01536,0.017
0.65,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00835,0.01,0.011,0.013,0.014,0.01535,0.017
0.66,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00834,0.01,0.011,0.013,0.014,0.01534,0.017
0.67,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00833,0.01,0.011,0.013,0.014,0.01533,0.017
0.68,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00832,0.01,0.011,0.013,0.014,0.01532,0.017
0.69,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00831,0.01,0.011,0.013,0.014,0.01531,0.017
0.7,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.0083,0.01,0.011,0.013,0.014,0.0153,0.017
0.71,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00829,0.01,0.011,0.013,0.014,0.01529,0.017
0.72,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00828,0.01,0.011,0.013,0.014,0.01528,0.017
0.73,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00827,0.01,0.011,0.013,0.014,0.01527,0.017
0.74,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00826,0.01,0.011,0.013,0.014,0.01526,0.017
0.75,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00825,0.01,0.011,0.013,0.014,0.01525,0.017
0.76,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00824,0.01,0.011,0.013,0.014,0.01524,0.017
0.77,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00823,0.01,0.011,0.013,0.014,0.01523,0.017
0.78,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00822,0.01,0.011,0.013,0.014,0.01522,0.017
0.79,-0.003,-0.002,0,0.002,0.003,0.004,0.006,0.007,0.00821,0.01,0.011,0.013,0.014,0.01521,0.017
