Temp,tcorr
-170,0.99468
-169,0.9947
-168,0.99473
-167,0.99475
-166,0.99478
-165,0.9948
-164,0.99482
-163,0.99485
-162,0.99487
-161,0.99489
-160,0.99492
-159,0.99494
-158,0.99496
-157,0.99498
-156,0.99501
-155,0.99503
-154,0.99505
-153,0.99507
-152,0.9951
-151,0.99512
-150,0.99514
-149,0.99517
-148,0.99519
-147,0.99521
-146,0.99523
-145,0.99526
-144,0.99528
-143,0.9953
-142,0.99533
-141,0.99535
-140,0.99537
-139,0.99541
-138,0.99542
-137,0.99544
-136,0.99546
-135,0.99549
-134,0.99551
-133,0.99553
-132,0.99555
-131,0.99558
-130,0.9956
-129,0.99562
-128,0.99564
-127,0.99567
-126,0.99569
-125,0.99571
-124,0.99574
-123,0.99576
-122,0.99578
-121,0.9958
-120,0.99583
-119,0.99585
-118,0.99587
-117,0.9959
-116,0.99592
-115,0.99594
-114,0.99596
-113,0.99599
-112,0.99601
-111,0.99603
-110,0.99606
-109,0.99608
-108,0.9961
-107,0.99612
-106,0.99615
-105,0.99617
-104,0.99619
-103,0.99621
-102,0.99624
-101,0.99626
-100,0.99628
-99,0.99631
-98,0.99634
-97,0.99637
-96,0.99639
-95,0.99642
-94,0.99645
-93,0.99648
-92,0.9965
-91,0.99653
-90,0.99656
-89,0.99659
-88,0.99661
-87,0.99664
-86,0.99667
-85,0.9967
-84,0.99672
-83,0.99675
-82,0.99678
-81,0.99681
-80,0.99684
-79,0.99686
-78,0.99689
-77,0.99692
-76,0.99695
-75,0.99697
-74,0.997
-73,0.99703
-72,0.99706
-71,0.99708
-70,0.99711
-69,0.99714
-68,0.99717
-67,0.99719
-66,0.99722
-65,0.99725
-64,0.99728
-63,0.9973
-62,0.99733
-61,0.99737
-60,0.99739
-59,0.99741
-58,0.99744
-57,0.99747
-56,0.9975
-55,0.99753
-54,0.99755
-53,0.99758
-52,0.99761
-51,0.99764
-50,0.99766
-49,0.9977
-48,0.99773
-47,0.99776
-46,0.99779
-45,0.99782
-44,0.99786
-43,0.99789
-42,0.99792
-41,0.99795
-40,0.99798
-39,0.99802
-38,0.99805
-37,0.99808
-36,0.99811
-35,0.99814
-34,0.99818
-33,0.99821
-32,0.99824
-31,0.99827
-30,0.99831
-29,0.99834
-28,0.99837
-27,0.9984
-26,0.99843
-25,0.99847
-24,0.9985
-23,0.99853
-22,0.99856
-21,0.99859
-20,0.99863
-19,0.99866
-18,0.99869
-17,0.99872
-16,0.99875
-15,0.99879
-14,0.99882
-13,0.99885
-12,0.99888
-11,0.99891
-10,0.99895
-9,0.99898
-8,0.99901
-7,0.99904
-6,0.99908
-5,0.99911
-4,0.99914
-3,0.99917
-2,0.9992
-1,0.99924
0,0.99927
1,0.9993
2,0.99934
3,0.99938
4,0.99941
5,0.99945
6,0.99949
7,0.99952
8,0.99956
9,0.9996
10,0.99963
11,0.99967
12,0.99971
13,0.99974
14,0.99978
15,0.99982
16,0.99985
17,0.99989
18,0.99992
19,0.99995
20,1
21,1.00004
22,1.00008
23,1.00012
24,1.00016
25,1.0002
26,1.00024
27,1.00028
28,1.00032
29,1.00036
30,1.0004
31,1.00044
32,1.00048
33,1.00052
34,1.00055
35,1.0006
36,1.00064
37,1.00068
38,1.00072
39,1.00076
40,1.0008
41,1.00084
42,1.00088
43,1.00092
44,1.00096
45,1.001
46,1.00104
47,1.00108
48,1.00112
49,1.00116
50,1.0008
