level,trim_2.0,trim_1.0,trim_0.5,trim_0.0,trim_-0.5,trim_-1.0,trim_-2.0,trim_-3.0,trim_-4.0,trim_-5.0,trim_-6.0,trim_-7.0,trim_-8.0
0,0.056,0.025,0.012,0,0,0,0.004,0.01,0.016,0.022,0.029,0.036,0.044
0.01,0.0555,0.025,0.012,0,-0.004,-0.005,-0.0015,0.004,0.0105,0.0165,0.0235,0.0305,0.038
0.02,0.055,0.025,0.012,0,-0.008,-0.01,-0.007,-0.002,0.005,0.011,0.018,0.025,0.032
0.03,0.0535,0.0245,0.012,0,-0.009,-0.013,-0.0115,-0.0065,0,0.006,0.013,0.02,0.027
0.04,0.052,0.024,0.012,0,-0.01,-0.016,-0.016,-0.011,-0.005,0.001,0.008,0.015,0.022
0.05,0.0515,0.024,0.0115,0,-0.01,-0.017,-0.019,-0.015,-0.0095,-0.0035,0.003,0.0095,0.0165
0.06,0.051,0.024,0.011,0,-0.01,-0.018,-0.022,-0.019,-0.014,-0.008,-0.002,0.004,0.011
0.07,0.0505,0.0235,0.011,0,-0.01,-0.0185,-0.0245,-0.0225,-0.0185,-0.0125,-0.0065,-0.0005,0.0065
0.08,0.05,0.023,0.011,0,-0.01,-0.019,-0.027,-0.026,-0.023,-0.017,-0.011,-0.005,0.002
0.09,0.0495,0.023,0.011,0,-0.01,-0.019,-0.029,-0.029,-0.0265,-0.0215,-0.0155,-0.0095,-0.003
0.1,0.049,0.023,0.011,0,-0.01,-0.019,-0.031,-0.032,-0.03,-0.026,-0.02,-0.014,-0.008
0.11,0.0488,0.0229,0.011,0,-0.01,-0.0191,-0.0316,-0.0338,-0.0326,-0.0292,-0.0236,-0.0179,-0.0121
0.12,0.0486,0.0228,0.011,0,-0.01,-0.0192,-0.0322,-0.0356,-0.0352,-0.0324,-0.0272,-0.0218,-0.0162
0.13,0.0484,0.0227,0.011,0,-0.01,-0.0193,-0.0328,-0.0374,-0.0378,-0.0356,-0.0308,-0.0257,-0.0203
0.14,0.0482,0.0226,0.011,0,-0.01,-0.0194,-0.0334,-0.0392,-0.0404,-0.0388,-0.0344,-0.0296,-0.0244
0.15,0.048,0.0225,0.011,0,-0.01,-0.0195,-0.034,-0.041,-0.043,-0.042,-0.038,-0.0335,-0.0285
0.16,0.0478,0.0224,0.011,0,-0.01,-0.0196,-0.0346,-0.0428,-0.0456,-0.0452,-0.0416,-0.0374,-0.0326
0.17,0.0476,0.0223,0.011,0,-0.01,-0.0197,-0.0352,-0.0446,-0.0482,-0.0484,-0.0452,-0.0413,-0.0367
0.18,0.0474,0.0222,0.011,0,-0.01,-0.0198,-0.0358,-0.0464,-0.0508,-0.0516,-0.0488,-0.0452,-0.0408
0.19,0.0472,0.0221,0.011,0,-0.01,-0.0199,-0.0364,-0.0482,-0.0534,-0.0548,-0.0524,-0.0491,-0.0449
0.2,0.047,0.022,0.011,0,-0.01,-0.02,-0.037,-0.05,-0.056,-0.058,-0.056,-0.053,-0.049
0.21,0.0469,0.022,0.011,0,-0.01,-0.02,-0.0372,-0.0505,-0.0572,-0.0599,-0.0585,-0.0559,-0.0521
0.22,0.0468,0.022,0.011,0,-0.01,-0.02,-0.0374,-0.051,-0.0584,-0.0618,-0.061,-0.0588,-0.0552
0.23,0.0467,0.022,0.011,0,-0.01,-0.02,-0.0376,-0.0515,-0.0596,-0.0637,-0.0635,-0.0617,-0.0583
0.24,0.0466,0.022,0.011,0,-0.01,-0.02,-0.0378,-0.052,-0.0608,-0.0656,-0.066,-0.0646,-0.0614
0.25,0.0465,0.022,0.011,0,-0.01,-0.02,-0.038,-0.0525,-0.062,-0.0675,-0.0685,-0.0675,-0.0645
0.26,0.0464,0.022,0.011,0,-0.01,-0.02,-0.0382,-0.053,-0.0632,-0.0694,-0.071,-0.0704,-0.0676
0.27,0.0463,0.022,0.011,0,-0.01,-0.02,-0.0384,-0.0535,-0.0644,-0.0713,-0.0735,-0.0733,-0.0707
0.28,0.0462,0.022,0.011,0,-0.01,-0.02,-0.0386,-0.054,-0.0656,-0.0732,-0.076,-0.0762,-0.0738
0.29,0.0461,0.022,0.011,0,-0.01,-0.02,-0.0388,-0.0545,-0.0668,-0.0751,-0.0785,-0.0791,-0.0769
0.3,0.046,0.022,0.011,0,-0.01,-0.02,-0.039,-0.055,-0.068,-0.077,-0.081,-0.082,-0.08
