level,list_-6.0,list_-5.0,list_-4.0,list_-3.0,list_-2.0,list_-1.0,list_0.0,list_1.0,list_2.0,list_3.0,list_4.0,list_5.0,list_6.0
0,0,0,0,0,0,0,0,0.008,0.019,0.029,0.042,0.057,0.073
0.01,-0.009,-0.0095,-0.0095,-0.0085,-0.0065,-0.004,0,0.008,0.018,0.029,0.042,0.057,0.073
0.02,-0.018,-0.019,-0.019,-0.017,-0.013,-0.008,0,0.008,0.017,0.029,0.042,0.057,0.073
0.03,-0.0175,-0.0185,-0.018,-0.016,-0.0125,-0.0075,0,0.008,0.0175,0.0295,0.0425,0.057,0.073
0.04,-0.017,-0.018,-0.017,-0.015,-0.012,-0.007,0,0.008,0.018,0.03,0.043,0.057,0.073
0.05,-0.0175,-0.0185,-0.0175,-0.0155,-0.012,-0.007,0,0.008,0.018,0.03,0.043,0.057,0.073
0.06,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.03,0.043,0.057,0.073
0.07,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.03,0.043,0.057,0.073
0.08,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.03,0.043,0.057,0.073
0.09,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.03,0.0425,0.057,0.073
0.1,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.03,0.042,0.057,0.073
0.11,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0299,0.042,0.0569,0.0729
0.12,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0298,0.042,0.0568,0.0728
0.13,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0297,0.042,0.0567,0.0727
0.14,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0296,0.042,0.0566,0.0726
0.15,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0295,0.042,0.0565,0.0725
0.16,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0294,0.042,0.0564,0.0724
0.17,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0293,0.042,0.0563,0.0723
0.18,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0292,0.042,0.0562,0.0722
0.19,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.0291,0.042,0.0561,0.0721
0.2,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.21,-0.0181,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.22,-0.0182,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.23,-0.0183,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.24,-0.0184,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.25,-0.0185,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.26,-0.0186,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.27,-0.0187,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.28,-0.0188,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.29,-0.0189,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.3,-0.019,-0.019,-0.018,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.072
0.31,-0.019,-0.0191,-0.0181,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0719
0.32,-0.019,-0.0192,-0.0182,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0718
0.33,-0.019,-0.0193,-0.0183,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0717
0.34,-0.019,-0.0194,-0.0184,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0716
0.35,-0.019,-0.0195,-0.0185,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0715
0.36,-0.019,-0.0196,-0.0186,-0.016,-0.012,-0.007,0,0.008,0.018,0.029,0.042,0.056,0.0714
