Press,pcorr
-1,0.999738
-0.9,0.999765
-0.8,0.999791
-0.7,0.999817
-0.6,0.999843
-0.5,0.999869
-0.4,0.999895
-0.3,0.999922
-0.2,0.999948
-0.1,0.999974
0,1
0.1,1.000026
0.2,1.000052
0.3,1.000078
0.4,1.000105
0.5,1.000131
0.6,1.000157
0.7,1.000183
0.8,1.000209
0.9,1.000235
1,1.000262
1.1,1.000288
1.2,1.000314
1.3,1.00034
1.4,1.000366
1.5,1.000392
1.6,1.000419
1.7,1.000445
1.8,1.000471
1.9,1.000497
2,1.000523
2.1,1.000549
2.2,1.000576
2.3,1.000602
2.4,1.000628
2.5,1.000654
2.6,1.00068
2.7,1.000706
2.8,1.000732
2.9,1.000759
3,1.000785
3.1,1.000811
3.2,1.000837
3.3,1.000863
3.4,1.000889
3.5,1.000916
3.6,1.000942
3.7,1.000968
3.8,1.000994
3.9,1.00102
4,1.001046
4.1,1.001073
4.2,1.001099
4.3,1.001125
4.4,1.001151
4.5,1.001177
4.6,1.001203
4.7,1.001229
4.8,1.001256
4.9,1.001282
5,1.001308
5.1,1.001334
5.2,1.00136
5.3,1.001386
5.4,1.001413
5.5,1.001439
5.6,1.001465
5.7,1.001491
5.8,1.001517
5.9,1.001543
6,1.00157
