level,temp_-170.0,temp_-165.0,temp_-160.0,temp_-155.0,temp_-150.0,temp_-145.0,temp_-140.0,temp_-135.0,temp_-130.0,temp_-125.0,temp_-120.0,temp_-115.0,temp_-110.0,temp_-105.0,temp_-100.0,temp_-95.0,temp_-90.0,temp_-85.0,temp_-80.0,temp_-75.0,temp_-70.0,temp_-65.0,temp_-60.0,temp_-55.0,temp_-50.0,temp_-45.0,temp_-40.0,temp_-35.0,temp_-30.0,temp_-25.0,temp_-20.0,temp_-15.0,temp_-10.0,temp_-5.0,temp_0.0,temp_5.0,temp_10.0,temp_15.0,temp_20.0,temp_25.0,temp_30.0,temp_35.0,temp_40.0,temp_45.0,temp_50.0
0,-0.022,-0.021,-0.021,-0.021,-0.02,-0.02,-0.02,-0.019,-0.019,-0.018,-0.017,-0.017,-0.017,-0.016,-0.016,-0.016,-0.015,-0.015,-0.014,-0.014,-0.013,-0.013,-0.013,-0.012,-0.011,-0.01,-0.01,-0.01,-0.008,-0.008,-0.007,-0.006,-0.005,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.006
0.01,-0.02197,-0.02098,-0.02097,-0.02097,-0.01998,-0.01998,-0.01997,-0.01898,-0.01898,-0.01798,-0.01698,-0.01699,-0.01698,-0.01598,-0.01598,-0.01598,-0.01498,-0.01498,-0.01398,-0.01398,-0.01299,-0.01298,-0.01298,-0.01198,-0.01099,-0.00998,-0.00998,-0.00998,-0.00799,-0.00799,-0.00699,-0.00599,-0.00499,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00599
0.02,-0.02194,-0.02096,-0.02094,-0.02094,-0.01996,-0.01996,-0.01994,-0.01896,-0.01896,-0.01796,-0.01696,-0.01698,-0.01696,-0.01596,-0.01596,-0.01596,-0.01496,-0.01496,-0.01396,-0.01396,-0.01298,-0.01296,-0.01296,-0.01196,-0.01098,-0.00996,-0.00996,-0.00996,-0.00798,-0.00798,-0.00698,-0.00598,-0.00498,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00598
0.03,-0.02191,-0.02094,-0.02091,-0.02091,-0.01994,-0.01994,-0.01991,-0.01894,-0.01894,-0.01794,-0.01694,-0.01697,-0.01694,-0.01594,-0.01594,-0.01594,-0.01494,-0.01494,-0.01394,-0.01394,-0.01297,-0.01294,-0.01294,-0.01194,-0.01097,-0.00994,-0.00994,-0.00994,-0.00797,-0.00797,-0.00697,-0.00597,-0.00497,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00597
0.04,-0.02188,-0.02092,-0.02088,-0.02088,-0.01992,-0.01992,-0.01988,-0.01892,-0.01892,-0.01792,-0.01692,-0.01696,-0.01692,-0.01592,-0.01592,-0.01592,-0.01492,-0.01492,-0.01392,-0.01392,-0.01296,-0.01292,-0.01292,-0.01192,-0.01096,-0.00992,-0.00992,-0.00992,-0.00796,-0.00796,-0.00696,-0.00596,-0.00496,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00596
0.05,-0.02185,-0.0209,-0.02085,-0.02085,-0.0199,-0.0199,-0.01985,-0.0189,-0.0189,-0.0179,-0.0169,-0.01695,-0.0169,-0.0159,-0.0159,-0.0159,-0.0149,-0.0149,-0.0139,-0.0139,-0.01295,-0.0129,-0.0129,-0.0119,-0.01095,-0.0099,-0.0099,-0.0099,-0.00795,-0.00795,-0.00695,-0.00595,-0.00495,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00595
0.06,-0.02182,-0.02088,-0.02082,-0.02082,-0.01988,-0.01988,-0.01982,-0.01888,-0.01888,-0.01788,-0.01688,-0.01694,-0.01688,-0.01588,-0.01588,-0.01588,-0.01488,-0.01488,-0.01388,-0.01388,-0.01294,-0.01288,-0.01288,-0.01188,-0.01094,-0.00988,-0.00988,-0.00988,-0.00794,-0.00794,-0.00694,-0.00594,-0.00494,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00594
0.07,-0.02179,-0.02086,-0.02079,-0.02079,-0.01986,-0.01986,-0.01979,-0.01886,-0.01886,-0.01786,-0.01686,-0.01693,-0.01686,-0.01586,-0.01586,-0.01586,-0.01486,-0.01486,-0.01386,-0.01386,-0.01293,-0.01286,-0.01286,-0.01186,-0.01093,-0.00986,-0.00986,-0.00986,-0.00793,-0.00793,-0.00693,-0.00593,-0.00493,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00593
0.08,-0.02176,-0.02084,-0.02076,-0.02076,-0.01984,-0.01984,-0.01976,-0.01884,-0.01884,-0.01784,-0.01684,-0.01692,-0.01684,-0.01584,-0.01584,-0.01584,-0.01484,-0.01484,-0.01384,-0.01384,-0.01292,-0.01284,-0.01284,-0.01184,-0.01092,-0.00984,-0.00984,-0.00984,-0.00792,-0.00792,-0.00692,-0.00592,-0.00492,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00592
0.09,-0.02173,-0.02082,-0.02073,-0.02073,-0.01982,-0.01982,-0.01973,-0.01882,-0.01882,-0.01782,-0.01682,-0.01691,-0.01682,-0.01582,-0.01582,-0.01582,-0.01482,-0.01482,-0.01382,-0.01382,-0.01291,-0.01282,-0.01282,-0.01182,-0.01091,-0.00982,-0.00982,-0.00982,-0.00791,-0.00791,-0.00691,-0.00591,-0.00491,-0.004,-0.003,-0.002,-0.001,-0.001,0,0.001,0.001,0.002,0.003,0.004,0.00591
