level,trim_2.0,trim_1.0,trim_0.5,trim_0.0,trim_-0.5,trim_-1.0,trim_-2.0,trim_-3.0,trim_-4.0,trim_-5.0,trim_-6.0,trim_-7.0,trim_-8.0
0,0.057,0.026,0.013,0,0,0,0.003,0.01,0.016,0.023,0.029,0.035,0.043
0.01,0.0555,0.025,0.0115,0,-0.004,-0.005,-0.002,0.0045,0.0105,0.017,0.023,0.0295,0.037
0.02,0.054,0.024,0.01,0,-0.008,-0.01,-0.007,-0.001,0.005,0.011,0.017,0.024,0.031
0.03,0.0535,0.0245,0.011,0,-0.009,-0.0125,-0.011,-0.006,-0.0005,0.0055,0.012,0.019,0.026
0.04,0.053,0.025,0.012,0,-0.01,-0.015,-0.015,-0.011,-0.006,0,0.007,0.014,0.021
0.05,0.052,0.0245,0.012,0,-0.01,-0.0165,-0.0185,-0.0155,-0.0105,-0.0045,0.002,0.0085,0.0155
0.06,0.051,0.024,0.012,0,-0.01,-0.018,-0.022,-0.02,-0.015,-0.009,-0.003,0.003,0.01
0.07,0.0505,0.024,0.0115,0,-0.01,-0.0185,-0.025,-0.0235,-0.019,-0.0135,-0.0075,-0.0015,0.005
0.08,0.05,0.024,0.011,0,-0.01,-0.019,-0.028,-0.027,-0.023,-0.018,-0.012,-0.006,0
0.09,0.05,0.0235,0.011,0,-0.01,-0.019,-0.0295,-0.03,-0.027,-0.0225,-0.0165,-0.0105,-0.0045
0.1,0.05,0.023,0.011,0,-0.01,-0.019,-0.031,-0.033,-0.031,-0.027,-0.021,-0.015,-0.009
0.11,0.0497,0.023,0.011,0,-0.0101,-0.0191,-0.0317,-0.0348,-0.0336,-0.0302,-0.0247,-0.0189,-0.0131
0.12,0.0494,0.023,0.011,0,-0.0102,-0.0192,-0.0324,-0.0366,-0.0362,-0.0334,-0.0284,-0.0228,-0.0172
0.13,0.0491,0.023,0.011,0,-0.0103,-0.0193,-0.0331,-0.0384,-0.0388,-0.0366,-0.0321,-0.0267,-0.0213
0.14,0.0488,0.023,0.011,0,-0.0104,-0.0194,-0.0338,-0.0402,-0.0414,-0.0398,-0.0358,-0.0306,-0.0254
0.15,0.0485,0.023,0.011,0,-0.0105,-0.0195,-0.0345,-0.042,-0.044,-0.043,-0.0395,-0.0345,-0.0295
0.16,0.0482,0.023,0.011,0,-0.0106,-0.0196,-0.0352,-0.0438,-0.0466,-0.0462,-0.0432,-0.0384,-0.0336
0.17,0.0479,0.023,0.011,0,-0.0107,-0.0197,-0.0359,-0.0456,-0.0492,-0.0494,-0.0469,-0.0423,-0.0377
0.18,0.0476,0.023,0.011,0,-0.0108,-0.0198,-0.0366,-0.0474,-0.0518,-0.0526,-0.0506,-0.0462,-0.0418
0.19,0.0473,0.023,0.011,0,-0.0109,-0.0199,-0.0373,-0.0492,-0.0544,-0.0558,-0.0543,-0.0501,-0.0459
0.2,0.047,0.023,0.011,0,-0.011,-0.02,-0.038,-0.051,-0.057,-0.059,-0.058,-0.054,-0.05
0.21,0.0469,0.0229,0.011,0,-0.011,-0.0201,-0.0382,-0.0515,-0.0582,-0.0609,-0.0604,-0.0569,-0.0532
0.22,0.0468,0.0228,0.011,0,-0.011,-0.0202,-0.0384,-0.052,-0.0594,-0.0628,-0.0628,-0.0598,-0.0564
0.23,0.0467,0.0227,0.011,0,-0.011,-0.0203,-0.0386,-0.0525,-0.0606,-0.0647,-0.0652,-0.0627,-0.0596
0.24,0.0466,0.0226,0.011,0,-0.011,-0.0204,-0.0388,-0.053,-0.0618,-0.0666,-0.0676,-0.0656,-0.0628
0.25,0.0465,0.0225,0.011,0,-0.011,-0.0205,-0.039,-0.0535,-0.063,-0.0685,-0.07,-0.0685,-0.066
0.26,0.0464,0.0224,0.011,0,-0.011,-0.0206,-0.0392,-0.054,-0.0642,-0.0704,-0.0724,-0.0714,-0.0692
0.27,0.0463,0.0223,0.011,0,-0.011,-0.0207,-0.0394,-0.0545,-0.0654,-0.0723,-0.0748,-0.0743,-0.0724
0.28,0.0462,0.0222,0.011,0,-0.011,-0.0208,-0.0396,-0.055,-0.0666,-0.0742,-0.0772,-0.0772,-0.0756
0.29,0.0461,0.0221,0.011,0,-0.011,-0.0209,-0.0398,-0.0555,-0.0678,-0.0761,-0.0796,-0.0801,-0.0788
0.3,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.056,-0.069,-0.078,-0.082,-0.083,-0.082
0.31,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0562,-0.0694,-0.0789,-0.0835,-0.085,-0.0844
0.32,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0564,-0.0698,-0.0798,-0.085,-0.087,-0.0868
0.33,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0566,-0.0702,-0.0807,-0.0865,-0.089,-0.0892
0.34,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0568,-0.0706,-0.0816,-0.088,-0.091,-0.0916
0.35,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.057,-0.071,-0.0825,-0.0895,-0.093,-0.094
0.36,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0572,-0.0714,-0.0834,-0.091,-0.095,-0.0964
0.37,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0574,-0.0718,-0.0843,-0.0925,-0.097,-0.0988
0.38,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0576,-0.0722,-0.0852,-0.094,-0.099,-0.1012
0.39,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.0578,-0.0726,-0.0861,-0.0955,-0.101,-0.1036
0.4,0.046,0.022,0.011,0,-0.011,-0.021,-0.04,-0.058,-0.073,-0.087,-0.097,-0.103,-0.106
0.41,0.0459,0.022,0.011,0,-0.011,-0.021,-0.0401,-0.0581,-0.0733,-0.0874,-0.0977,-0.1042,-0.1076
0.42,0.0458,0.022,0.011,0,-0.011,-0.021,-0.0402,-0.0582,-0.0736,-0.0878,-0.0984,-0.1054,-0.1092
0.43,0.0457,0.022,0.011,0,-0.011,-0.021,-0.0403,-0.0583,-0.0739,-0.0882,-0.0991,-0.1066,-0.1108
0.44,0.0456,0.022,0.011,0,-0.011,-0.021,-0.0404,-0.0584,-0.0742,-0.0886,-0.0998,-0.1078,-0.1124
0.45,0.0455,0.022,0.011,0,-0.011,-0.021,-0.0405,-0.0585,-0.0745,-0.089,-0.1005,-0.109,-0.114
0.46,0.0454,0.022,0.011,0,-0.011,-0.021,-0.0406,-0.0586,-0.0748,-0.0894,-0.1012,-0.1102,-0.1156
0.47,0.0453,0.022,0.011,0,-0.011,-0.021,-0.0407,-0.0587,-0.0751,-0.0898,-0.1019,-0.1114,-0.1172
0.48,0.0452,0.022,0.011,0,-0.011,-0.021,-0.0408,-0.0588,-0.0754,-0.0902,-0.1026,-0.1126,-0.1188
0.49,0.0451,0.022,0.011,0,-0.011,-0.021,-0.0409,-0.0589,-0.0757,-0.0906,-0.1033,-0.1138,-0.1204
0.5,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.059,-0.076,-0.091,-0.104,-0.115,-0.122
0.51,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0591,-0.0762,-0.0913,-0.1044,-0.1156,-0.123
0.52,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0592,-0.0764,-0.0916,-0.1048,-0.1162,-0.124
0.53,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0593,-0.0766,-0.0919,-0.1052,-0.1168,-0.125
0.54,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0594,-0.0768,-0.0922,-0.1056,-0.1174,-0.126
0.55,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0595,-0.077,-0.0925,-0.106,-0.118,-0.127
0.56,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0596,-0.0772,-0.0928,-0.1064,-0.1186,-0.128
0.57,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0597,-0.0774,-0.0931,-0.1068,-0.1192,-0.129
0.58,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0598,-0.0776,-0.0934,-0.1072,-0.1198,-0.13
0.59,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.0599,-0.0778,-0.0937,-0.1076,-0.1204,-0.131
0.6,0.045,0.022,0.011,0,-0.011,-0.021,-0.041,-0.06,-0.078,-0.094,-0.108,-0.121,-0.132
0.61,0.045,0.022,0.011,0,-0.011,-0.021,-0.04105,-0.06005,-0.0781,-0.09415,-0.1083,-0.1214,-0.13255
0.62,0.045,0.022,0.011,0,-0.011,-0.021,-0.0411,-0.0601,-0.0782,-0.0943,-0.1086,-0.1218,-0.1331
0.63,0.045,0.022,0.011,0,-0.011,-0.021,-0.04115,-0.06015,-0.0783,-0.09445,-0.1089,-0.1222,-0.13365
0.64,0.045,0.022,0.011,0,-0.011,-0.021,-0.0412,-0.0602,-0.0784,-0.0946,-0.1092,-0.1226,-0.1342
0.65,0.045,0.022,0.011,0,-0.011,-0.021,-0.04125,-0.06025,-0.0785,-0.09475,-0.1095,-0.123,-0.13475
0.66,0.045,0.022,0.011,0,-0.011,-0.021,-0.0413,-0.0603,-0.0786,-0.0949,-0.1098,-0.1234,-0.1353
0.67,0.045,0.022,0.011,0,-0.011,-0.021,-0.04135,-0.06035,-0.0787,-0.09505,-0.1101,-0.1238,-0.13585
0.68,0.045,0.022,0.011,0,-0.011,-0.021,-0.0414,-0.0604,-0.0788,-0.0952,-0.1104,-0.1242,-0.1364
0.69,0.045,0.022,0.011,0,-0.011,-0.021,-0.04145,-0.06045,-0.0789,-0.09535,-0.1107,-0.1246,-0.13695
0.7,0.045,0.022,0.011,0,-0.011,-0.021,-0.0415,-0.0605,-0.079,-0.0955,-0.111,-0.125,-0.1375
0.71,0.045,0.022,0.011,0,-0.011,-0.021,-0.04155,-0.06055,-0.0791,-0.09565,-0.1113,-0.1254,-0.13805
0.72,0.045,0.022,0.011,0,-0.011,-0.021,-0.0416,-0.0606,-0.0792,-0.0958,-0.1116,-0.1258,-0.1386
0.73,0.045,0.022,0.011,0,-0.011,-0.021,-0.04165,-0.06065,-0.0793,-0.09595,-0.1119,-0.1262,-0.13915
0.74,0.045,0.022,0.011,0,-0.011,-0.021,-0.0417,-0.0607,-0.0794,-0.0961,-0.1122,-0.1266,-0.1397
0.75,0.045,0.022,0.011,0,-0.011,-0.021,-0.04175,-0.06075,-0.0795,-0.09625,-0.1125,-0.127,-0.14025
0.76,0.045,0.022,0.011,0,-0.011,-0.021,-0.0418,-0.0608,-0.0796,-0.0964,-0.1128,-0.1274,-0.1408
0.77,0.045,0.022,0.011,0,-0.011,-0.021,-0.04185,-0.06085,-0.0797,-0.09655,-0.1131,-0.1278,-0.14135
0.78,0.045,0.022,0.011,0,-0.011,-0.021,-0.0419,-0.0609,-0.0798,-0.0967,-0.1134,-0.1282,-0.1419
0.79,0.045,0.022,0.011,0,-0.011,-0.021,-0.04195,-0.06095,-0.0799,-0.09685,-0.1137,-0.1286,-0.14245
0.8,0.045,0.022,0.011,0,-0.011,-0.021,-0.042,-0.061,-0.08,-0.097,-0.114,-0.129,-0.143
0.81,0.04495,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06105,-0.08005,-0.0971,-0.11415,-0.1292,-0.1433
0.82,0.0449,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0611,-0.0801,-0.0972,-0.1143,-0.1294,-0.1436
0.83,0.04485,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06115,-0.08015,-0.0973,-0.11445,-0.1296,-0.1439
0.84,0.0448,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0612,-0.0802,-0.0974,-0.1146,-0.1298,-0.1442
0.85,0.04475,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06125,-0.08025,-0.0975,-0.11475,-0.13,-0.1445
0.86,0.0447,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0613,-0.0803,-0.0976,-0.1149,-0.1302,-0.1448
0.87,0.04465,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06135,-0.08035,-0.0977,-0.11505,-0.1304,-0.1451
0.88,0.0446,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0614,-0.0804,-0.0978,-0.1152,-0.1306,-0.1454
0.89,0.04455,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06145,-0.08045,-0.0979,-0.11535,-0.1308,-0.1457
0.9,0.0445,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0615,-0.0805,-0.098,-0.1155,-0.131,-0.146
0.91,0.04445,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06155,-0.08055,-0.0981,-0.11565,-0.1312,-0.1463
0.92,0.0444,0.022,0.011,0,-0.011,-0.021,-0.042,-0.0616,-0.0806,-0.0982,-0.1158,-0.1314,-0.1466
0.93,0.04435,0.022,0.011,0,-0.011,-0.021,-0.042,-0.06165,-0.08065,-0.0983,-0.11595,-0.1316,-0.1469
