level,volume
0,0.645
0.01,0.877
0.02,1.194
0.03,1.524
0.04,1.89
0.05,2.291
0.06,2.727
0.07,3.196
0.08,3.692
0.09,4.216
0.1,4.766
0.11,5.342
0.12,5.946
0.13,6.572
0.14,7.221
0.15,7.892
0.16,8.584
0.17,9.298
0.18,10.034
0.19,10.791
0.2,11.567
0.21,12.362
0.22,13.175
0.23,14.007
0.24,14.857
0.25,15.725
0.26,16.612
0.27,17.517
0.28,18.439
0.29,19.377
0.3,20.331
0.31,21.3
0.32,22.286
0.33,23.288
0.34,24.306
0.35,25.34
0.36,26.39
0.37,27.455
0.38,28.534
0.39,29.627
0.4,30.734
0.41,31.856
0.42,32.991
0.43,34.141
0.44,35.305
0.45,36.484
0.46,37.676
0.47,38.882
0.48,40.101
0.49,41.332
0.5,42.577
0.51,43.834
0.52,45.103
0.53,46.386
0.54,47.681
0.55,48.989
0.56,50.309
0.57,51.642
0.58,52.988
0.59,54.346
0.6,55.715
0.61,57.096
0.62,58.489
0.63,59.892
0.64,61.308
0.65,62.734
0.66,64.173
0.67,65.622
0.68,67.084
0.69,68.556
0.7,70.04
0.71,71.536
0.72,73.042
0.73,74.559
0.74,76.086
0.75,77.624
0.76,79.172
0.77,80.731
0.78,82.3
0.79,83.88
0.8,85.469
0.81,87.07
0.82,88.681
0.83,90.302
0.84,91.934
0.85,93.575
0.86,95.227
0.87,96.889
0.88,98.56
0.89,100.241
0.9,101.931
0.91,103.631
0.92,105.34
0.93,107.059
0.94,108.788
0.95,110.526
0.96,112.273
0.97,114.03
0.98,115.797
0.99,117.572
1,119.358
1.01,121.153
1.02,122.956
1.03,124.769
1.04,126.59
1.05,128.42
1.06,130.258
1.07,132.105
1.08,133.962
1.09,135.826
1.1,137.7
1.11,139.582
1.12,141.473
1.13,143.373
1.14,145.281
1.15,147.199
1.16,149.124
1.17,151.059
1.18,153.001
1.19,154.952
1.2,156.91
1.21,158.877
1.22,160.852
1.23,162.835
1.24,164.825
1.25,166.824
1.26,168.831
1.27,170.846
1.28,172.869
1.29,174.9
1.3,176.938
1.31,178.985
1.32,181.04
1.33,183.102
1.34,185.173
1.35,187.251
1.36,189.337
1.37,191.43
1.38,193.531
1.39,195.638
1.4,197.753
1.41,199.876
1.42,202.006
1.43,204.143
1.44,206.288
1.45,208.44
1.46,210.6
1.47,212.766
1.48,214.94
1.49,217.121
1.5,219.31
1.51,221.506
1.52,223.709
1.53,225.919
1.54,228.136
1.55,230.36
1.56,232.59
1.57,234.828
1.58,237.072
1.59,239.322
1.6,241.58
1.61,243.844
1.62,246.115
1.63,248.393
1.64,250.678
1.65,252.969
1.66,255.267
1.67,257.571
1.68,259.883
1.69,262.201
1.7,264.526
1.71,266.857
1.72,269.196
1.73,271.539
1.74,273.889
1.75,276.246
1.76,278.609
1.77,280.978
1.78,283.352
1.79,285.733
1.8,288.121
1.81,290.515
1.82,292.914
1.83,295.32
1.84,297.733
1.85,300.151
1.86,302.576
1.87,305.006
1.88,307.443
1.89,309.886
1.9,312.334
1.91,314.789
1.92,317.251
1.93,319.717
1.94,322.19
1.95,324.668
1.96,327.152
1.97,329.64
1.98,332.136
1.99,334.637
2,337.142
2.01,339.654
2.02,342.171
2.03,344.695
2.04,347.224
2.05,349.758
2.06,352.297
2.07,354.844
2.08,357.395
2.09,359.951
2.1,362.514
2.11,365.082
2.12,367.656
2.13,370.234
2.14,372.818
2.15,375.407
2.16,378.002
2.17,380.601
2.18,383.205
2.19,385.816
2.2,388.43
2.21,391.051
2.22,393.675
2.23,396.306
2.24,398.942
2.25,401.582
2.26,404.228
2.27,406.879
2.28,409.534
2.29,412.195
2.3,414.861
2.31,417.533
2.32,420.209
2.33,422.889
2.34,425.575
2.35,428.266
2.36,430.962
2.37,433.662
2.38,436.367
2.39,439.077
2.4,441.791
2.41,444.51
2.42,447.234
2.43,449.963
2.44,452.695
2.45,455.432
2.46,458.174
2.47,460.921
2.48,463.673
2.49,466.429
2.5,469.189
2.51,471.955
2.52,474.724
2.53,477.498
2.54,480.277
2.55,483.06
2.56,485.849
2.57,488.641
2.58,491.438
2.59,494.239
2.6,497.044
2.61,499.854
2.62,502.667
2.63,505.484
2.64,508.307
2.65,511.132
2.66,513.962
2.67,516.797
2.68,519.635
2.69,522.477
2.7,525.324
2.71,528.174
2.72,531.029
2.73,533.889
2.74,536.751
2.75,539.621
2.76,542.491
2.77,545.366
2.78,548.248
2.79,551.13
2.8,554.017
2.81,556.908
2.82,559.804
2.83,562.702
2.84,565.605
2.85,568.513
2.86,571.421
2.87,574.337
2.88,577.252
2.89,580.173
2.9,583.1
2.91,586.025
2.92,588.961
2.93,591.895
2.94,594.835
2.95,597.781
2.96,600.725
2.97,603.678
2.98,606.632
2.99,609.589
3,612.548
3.01,615.515
3.02,618.483
3.03,621.457
3.04,624.432
3.05,627.409
3.06,630.393
3.07,633.378
3.08,636.368
3.09,639.36
3.1,642.356
3.11,645.354
3.12,648.356
3.13,651.361
3.14,654.369
3.15,657.382
3.16,660.396
3.17,663.417
3.18,666.436
3.19,669.462
3.2,672.487
3.21,675.519
3.22,678.551
3.23,681.589
3.24,684.633
3.25,687.673
3.26,690.723
3.27,693.771
3.28,696.825
3.29,699.88
3.3,702.94
3.31,706.002
3.32,709.066
3.33,712.131
3.34,715.204
3.35,718.275
3.36,721.351
3.37,724.429
3.38,727.511
3.39,730.594
3.4,733.683
3.41,736.772
3.42,739.865
3.43,742.959
3.44,746.057
3.45,749.157
3.46,752.263
3.47,755.368
3.48,758.476
3.49,761.589
3.5,764.702
3.51,767.82
3.52,770.94
3.53,774.061
3.54,777.187
3.55,780.315
3.56,783.443
3.57,786.575
3.58,789.709
3.59,792.847
3.6,795.986
3.61,799.128
3.62,802.27
3.63,805.418
3.64,808.566
3.65,811.717
3.66,814.869
3.67,818.025
3.68,821.184
3.69,824.345
3.7,827.507
3.71,830.671
3.72,833.839
3.73,837.008
3.74,840.181
3.75,843.354
3.76,846.529
3.77,849.708
3.78,852.889
3.79,856.071
3.8,859.256
3.81,862.444
3.82,865.631
3.83,868.823
3.84,872.016
3.85,875.21
3.86,878.409
3.87,881.606
3.88,884.803
3.89,888.008
3.9,891.21
3.91,894.417
3.92,897.627
3.93,900.837
3.94,904.048
3.95,907.263
3.96,910.478
3.97,913.692
3.98,916.914
3.99,920.135
4,923.358
4.01,926.582
4.02,929.81
4.03,933.037
4.04,936.269
4.05,939.498
4.06,942.735
4.07,945.968
4.08,949.202
4.09,952.444
4.1,955.682
4.11,958.924
4.12,962.166
4.13,965.409
4.14,968.654
4.15,971.904
4.16,975.151
4.17,978.403
4.18,981.653
4.19,984.905
4.2,988.16
4.21,991.417
4.22,994.672
4.23,997.932
4.24,1001.192
4.25,1004.455
4.26,1007.715
4.27,1010.981
4.28,1014.249
4.29,1017.512
4.3,1020.782
4.31,1024.053
4.32,1027.324
4.33,1030.599
4.34,1033.868
4.35,1037.142
4.36,1040.416
4.37,1043.696
4.38,1046.971
4.39,1050.254
4.4,1053.531
4.41,1056.811
4.42,1060.095
4.43,1063.38
4.44,1066.659
4.45,1069.948
4.46,1073.231
4.47,1076.517
4.48,1079.806
4.49,1083.099
4.5,1086.386
4.51,1089.68
4.52,1092.968
4.53,1096.26
4.54,1099.56
4.55,1102.849
4.56,1106.149
4.57,1109.446
4.58,1112.742
4.59,1116.039
4.6,1119.341
4.61,1122.638
4.62,1125.94
4.63,1129.245
4.64,1132.543
4.65,1135.841
4.66,1139.148
4.67,1142.448
4.68,1145.753
4.69,1149.057
4.7,1152.359
4.71,1155.672
4.72,1158.978
4.73,1162.284
4.74,1165.591
4.75,1168.903
4.76,1172.208
4.77,1175.523
4.78,1178.829
4.79,1182.143
4.8,1185.453
4.81,1188.766
4.82,1192.08
4.83,1195.391
4.84,1198.702
4.85,1202.018
4.86,1205.328
4.87,1208.646
4.88,1211.962
4.89,1215.272
4.9,1218.59
4.91,1221.905
4.92,1225.219
4.93,1228.536
4.94,1231.849
4.95,1235.167
4.96,1238.482
4.97,1241.803
4.98,1245.117
4.99,1248.432
5,1251.752
5.01,1255.067
5.02,1258.386
5.03,1261.702
5.04,1265.02
5.05,1268.337
5.06,1271.656
5.07,1274.972
5.08,1278.29
5.09,1281.606
5.1,1284.927
5.11,1288.245
5.12,1291.561
5.13,1294.882
5.14,1298.196
5.15,1301.514
5.16,1304.83
5.17,1308.151
5.18,1311.466
5.19,1314.779
5.2,1318.099
5.21,1321.411
5.22,1324.728
5.23,1328.05
5.24,1331.363
5.25,1334.674
5.26,1337.989
5.27,1341.304
5.28,1344.625
5.29,1347.939
5.3,1351.25
5.31,1354.567
5.32,1357.876
5.33,1361.194
5.34,1364.508
5.35,1367.821
5.36,1371.135
5.37,1374.445
5.38,1377.754
5.39,1381.069
5.4,1384.375
5.41,1387.688
5.42,1390.99
5.43,1394.304
5.44,1397.612
5.45,1400.916
5.46,1404.218
5.47,1407.527
5.48,1410.836
5.49,1414.136
5.5,1417.437
5.51,1420.74
5.52,1424.051
5.53,1427.348
5.54,1430.645
5.55,1433.954
5.56,1437.25
5.57,1440.54
5.58,1443.847
5.59,1447.15
5.6,1450.449
5.61,1453.743
5.62,1457.039
5.63,1460.338
5.64,1463.628
5.65,1466.917
5.66,1470.205
5.67,1473.5
5.68,1476.785
5.69,1480.075
5.7,1483.366
5.71,1486.653
5.72,1489.938
5.73,1493.218
5.74,1496.505
5.75,1499.786
5.76,1503.066
5.77,1506.347
5.78,1509.623
5.79,1512.907
5.8,1516.182
5.81,1519.459
5.82,1522.729
5.83,1526.008
5.84,1529.281
5.85,1532.554
5.86,1535.822
5.87,1539.089
5.88,1542.356
5.89,1545.622
5.9,1548.884
5.91,1552.152
5.92,1555.414
5.93,1558.671
5.94,1561.931
5.95,1565.191
5.96,1568.442
5.97,1571.692
5.98,1574.956
5.99,1578.205
6,1581.456
6.01,1584.71
6.02,1587.953
6.03,1591.203
6.04,1594.448
6.05,1597.687
6.06,1600.927
6.07,1604.167
6.08,1607.407
6.09,1610.65
6.1,1613.879
6.11,1617.111
6.12,1620.346
6.13,1623.576
6.14,1626.799
6.15,1630.032
6.16,1633.256
6.17,1636.483
6.18,1639.703
6.19,1642.929
6.2,1646.142
6.21,1649.36
6.22,1652.569
6.23,1655.783
6.24,1658.999
6.25,1662.201
6.26,1665.412
6.27,1668.612
6.28,1671.816
6.29,1675.021
6.3,1678.221
6.31,1681.419
6.32,1684.615
6.33,1687.807
6.34,1690.995
6.35,1694.187
6.36,1697.369
6.37,1700.556
6.38,1703.74
6.39,1706.925
6.4,1710.098
6.41,1713.28
6.42,1716.453
6.43,1719.62
6.44,1722.788
6.45,1725.96
6.46,1729.129
6.47,1732.292
6.48,1735.457
6.49,1738.611
6.5,1741.768
6.51,1744.924
6.52,1748.075
6.53,1751.225
6.54,1754.372
6.55,1757.516
6.56,1760.658
6.57,1763.8
6.58,1766.934
6.59,1770.063
6.6,1773.205
6.61,1776.335
6.62,1779.457
6.63,1782.584
6.64,1785.71
6.65,1788.828
6.66,1791.946
6.67,1795.07
6.68,1798.179
6.69,1801.288
6.7,1804.397
6.71,1807.504
6.72,1810.597
6.73,1813.704
6.74,1816.794
6.75,1819.884
6.76,1822.978
6.77,1826.064
6.78,1829.152
6.79,1832.233
6.8,1835.314
6.81,1838.394
6.82,1841.466
6.83,1844.54
6.84,1847.603
6.85,1850.67
6.86,1853.734
6.87,1856.792
6.88,1859.846
6.89,1862.906
6.9,1865.959
6.91,1869.009
6.92,1872.048
6.93,1875.088
6.94,1878.126
6.95,1881.162
6.96,1884.189
6.97,1887.214
6.98,1890.243
6.99,1893.269
7,1896.29
7.01,1899.304
7.02,1902.321
7.03,1905.33
7.04,1908.332
7.05,1911.335
7.06,1914.339
7.07,1917.334
7.08,1920.325
7.09,1923.31
7.1,1926.304
7.11,1929.288
7.12,1932.27
7.13,1935.245
7.14,1938.22
7.15,1941.186
7.16,1944.147
7.17,1947.117
7.18,1950.074
7.19,1953.029
7.2,1955.982
7.21,1958.934
7.22,1961.871
7.23,1964.819
7.24,1967.752
7.25,1970.692
7.26,1973.622
7.27,1976.544
7.28,1979.468
7.29,1982.387
7.3,1985.302
7.31,1988.209
7.32,1991.118
7.33,1994.022
7.34,1996.925
7.35,1999.819
7.36,2002.713
7.37,2005.61
7.38,2008.489
7.39,2011.371
7.4,2014.242
7.41,2017.115
7.42,2019.984
7.43,2022.846
7.44,2025.714
7.45,2028.563
7.46,2031.42
7.47,2034.266
7.48,2037.115
7.49,2039.954
7.5,2042.778
7.51,2045.619
7.52,2048.449
7.53,2051.272
7.54,2054.092
7.55,2056.905
7.56,2059.716
7.57,2062.52
7.58,2065.328
7.59,2068.127
7.6,2070.918
7.61,2073.708
7.62,2076.491
7.63,2079.266
7.64,2082.046
7.65,2084.814
7.66,2087.588
7.67,2090.355
7.68,2093.107
7.69,2095.862
7.7,2098.603
7.71,2101.349
7.72,2104.089
7.73,2106.817
7.74,2109.549
7.75,2112.271
7.76,2114.993
7.77,2117.719
7.78,2120.431
7.79,2123.135
7.8,2125.837
7.81,2128.531
7.82,2131.221
7.83,2133.909
7.84,2136.592
7.85,2139.274
7.86,2141.953
7.87,2144.611
7.88,2147.279
7.89,2149.935
7.9,2152.585
7.91,2155.241
7.92,2157.884
7.93,2160.517
7.94,2163.152
7.95,2165.77
7.96,2168.393
7.97,2171.009
7.98,2173.624
7.99,2176.229
8,2178.831
8.01,2181.433
8.02,2184.01
8.03,2186.605
8.04,2189.187
8.05,2191.748
8.06,2194.328
8.07,2196.896
8.08,2199.454
8.09,2202.014
8.1,2204.552
8.11,2207.085
8.12,2209.623
8.13,2212.157
8.14,2214.682
8.15,2217.205
8.16,2219.719
8.17,2222.223
8.18,2224.723
8.19,2227.217
8.2,2229.714
8.21,2232.205
8.22,2234.676
8.23,2237.155
8.24,2239.624
8.25,2242.091
8.26,2244.547
8.27,2247.001
8.28,2249.443
8.29,2251.882
8.3,2254.327
8.31,2256.754
8.32,2259.168
8.33,2261.577
8.34,2263.987
8.35,2266.39
8.36,2268.796
8.37,2271.183
8.38,2273.56
8.39,2275.932
8.4,2278.302
8.41,2280.668
8.42,2283.028
8.43,2285.384
8.44,2287.728
8.45,2290.065
8.46,2292.397
8.47,2294.716
8.48,2297.042
8.49,2299.36
8.5,2301.675
8.51,2303.978
8.52,2306.267
8.53,2308.551
8.54,2310.829
8.55,2313.099
8.56,2315.365
8.57,2317.631
8.58,2319.893
8.59,2322.145
8.6,2324.374
8.61,2326.603
8.62,2328.825
8.63,2331.051
8.64,2333.267
8.65,2335.467
8.66,2337.665
8.67,2339.857
8.68,2342.054
8.69,2344.223
8.7,2346.386
8.71,2348.541
8.72,2350.696
8.73,2352.844
8.74,2354.99
8.75,2357.122
8.76,2359.247
8.77,2361.357
8.78,2363.461
8.79,2365.568
8.8,2367.672
8.81,2369.75
8.82,2371.835
8.83,2373.908
8.84,2375.979
8.85,2378.038
8.86,2380.083
8.87,2382.116
8.88,2384.153
8.89,2386.186
8.9,2388.209
8.91,2390.212
8.92,2392.217
8.93,2394.205
8.94,2396.195
8.95,2398.175
8.96,2400.14
8.97,2402.096
8.98,2404.053
8.99,2405.998
9,2407.939
9.01,2409.87
9.02,2411.783
9.03,2413.701
9.04,2415.603
9.05,2417.497
9.06,2419.378
9.07,2421.261
9.08,2423.135
9.09,2424.991
9.1,2426.827
9.11,2428.667
9.12,2430.506
9.13,2432.324
9.14,2434.147
9.15,2435.955
9.16,2437.747
9.17,2439.539
9.18,2441.32
9.19,2443.091
9.2,2444.852
9.21,2446.598
9.22,2448.342
9.23,2450.072
9.24,2451.801
9.25,2453.503
9.26,2455.218
9.27,2456.921
9.28,2458.592
9.29,2460.263
9.3,2461.936
9.31,2463.587
9.32,2465.235
9.33,2466.869
9.34,2468.497
9.35,2470.109
9.36,2471.714
9.37,2473.304
9.38,2474.883
