level,trim_-6.0,trim_-5.5,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,2.8,2.5,2.3,2.1,1.8,1.6,1.4,1.2,0.9,0.7,0.5,0.2,0,0.9,1.8,2.6,3.5
1,2.24,1.96,1.77,1.58,1.3,1.12,0.95,0.78,0.55,0.44,0.32,0.12,0,0.88,1.75,2.54,3.41
2,1.68,1.42,1.24,1.06,0.8,0.64,0.5,0.36,0.2,0.18,0.14,0.04,0,0.86,1.7,2.48,3.32
3,1.12,0.88,0.71,0.54,0.3,0.16,0.05,-0.06,-0.15,-0.08,-0.04,-0.04,0,0.84,1.65,2.42,3.23
4,0.56,0.34,0.18,0.02,-0.2,-0.32,-0.4,-0.48,-0.5,-0.34,-0.22,-0.12,0,0.82,1.6,2.36,3.14
5,0,-0.2,-0.35,-0.5,-0.7,-0.8,-0.85,-0.9,-0.85,-0.6,-0.4,-0.2,0,0.8,1.55,2.3,3.05
6,-0.56,-0.74,-0.88,-1.02,-1.2,-1.28,-1.3,-1.32,-1.2,-0.86,-0.58,-0.28,0,0.78,1.5,2.24,2.96
7,-1.12,-1.28,-1.41,-1.54,-1.7,-1.76,-1.75,-1.74,-1.55,-1.12,-0.76,-0.36,0,0.76,1.45,2.18,2.87
8,-1.68,-1.82,-1.94,-2.06,-2.2,-2.24,-2.2,-2.16,-1.9,-1.38,-0.94,-0.44,0,0.74,1.4,2.12,2.78
9,-2.24,-2.36,-2.47,-2.58,-2.7,-2.72,-2.65,-2.58,-2.25,-1.64,-1.12,-0.52,0,0.72,1.35,2.06,2.69
10,-2.8,-2.9,-3,-3.1,-3.2,-3.2,-3.1,-3,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
11,-3.14,-3.22,-3.29,-3.35,-3.39,-3.33,-3.18,-3.02,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
12,-3.48,-3.54,-3.58,-3.6,-3.58,-3.46,-3.26,-3.04,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
13,-3.82,-3.86,-3.87,-3.85,-3.77,-3.59,-3.34,-3.06,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
14,-4.16,-4.18,-4.16,-4.1,-3.96,-3.72,-3.42,-3.08,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
15,-4.5,-4.5,-4.45,-4.35,-4.15,-3.85,-3.5,-3.1,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
16,-4.84,-4.82,-4.74,-4.6,-4.34,-3.98,-3.58,-3.12,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
17,-5.18,-5.14,-5.03,-4.85,-4.53,-4.11,-3.66,-3.14,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
18,-5.52,-5.46,-5.32,-5.1,-4.72,-4.24,-3.74,-3.16,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
19,-5.86,-5.78,-5.61,-5.35,-4.91,-4.37,-3.82,-3.18,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
20,-6.2,-6.1,-5.9,-5.6,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
21,-6.34,-6.19,-5.95,-5.62,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
22,-6.48,-6.28,-6,-5.64,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
23,-6.62,-6.37,-6.05,-5.66,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
24,-6.76,-6.46,-6.1,-5.68,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
25,-6.9,-6.55,-6.15,-5.7,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
26,-7.04,-6.64,-6.2,-5.72,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
27,-7.18,-6.73,-6.25,-5.74,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
28,-7.32,-6.82,-6.3,-5.76,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
29,-7.46,-6.91,-6.35,-5.78,-5.1,-4.5,-3.9,-3.2,-2.6,-1.9,-1.3,-0.6,0,0.7,1.3,2,2.6
