level,volume
0,0
1,2.16
2,4.324
3,6.493
4,8.665
5,10.842
6,13.314
7,16.029
8,18.748
9,21.471
10,24.198
11,26.929
12,29.665
13,32.404
14,35.148
15,37.895
16,40.646
17,43.401
18,46.161
19,48.924
20,51.692
21,54.464
22,57.24
23,60.02
24,62.805
25,65.593
26,68.386
27,71.183
28,73.984
29,76.789
30,79.598
31,82.411
32,85.229
33,88.05
34,90.876
35,93.706
36,96.54
37,99.379
38,102.221
39,105.068
40,107.918
41,110.773
42,113.632
43,116.495
44,119.363
45,122.234
46,125.11
47,127.989
48,130.873
49,133.761
50,136.653
51,139.55
52,142.45
53,145.355
54,148.263
55,151.176
56,154.093
57,157.014
58,159.94
59,162.869
60,165.803
61,168.733
62,171.667
63,174.605
64,177.547
65,180.493
66,183.443
67,186.398
68,189.356
69,192.319
70,195.286
71,198.256
72,201.231
73,204.209
74,207.192
75,210.179
76,213.17
77,216.166
78,219.165
79,222.169
80,225.177
81,228.189
82,231.205
83,234.225
84,237.249
85,240.278
86,243.31
87,246.347
88,249.388
89,252.433
90,255.482
91,258.535
92,261.592
93,264.654
94,267.719
95,270.789
96,273.862
97,276.94
98,280.022
99,283.109
100,286.199
101,289.293
102,292.392
103,295.495
104,298.602
105,301.713
106,304.828
107,307.948
108,311.071
109,314.2
110,317.332
111,320.477
112,323.626
113,326.78
114,329.937
115,333.099
116,336.265
117,339.435
118,342.609
119,345.787
120,348.97
121,352.156
122,355.347
123,358.542
124,361.741
125,364.944
126,368.151
127,371.363
128,374.578
129,377.798
130,381.022
131,384.25
132,387.482
133,390.718
134,393.959
135,397.204
136,400.452
137,403.705
138,406.962
139,410.224
140,413.489
141,416.758
142,420.032
143,423.31
144,426.592
145,429.878
146,433.168
147,436.463
148,439.761
149,443.064
150,446.37
151,449.682
152,452.996
153,456.316
154,459.639
155,462.966
156,466.298
157,469.634
158,472.973
159,476.318
160,479.666
161,483.018
162,486.374
163,489.735
164,493.1
165,496.469
166,499.842
167,503.219
168,506.6
169,509.986
170,513.375
171,516.769
172,520.167
173,523.569
174,526.975
175,530.386
176,533.8
177,537.219
178,540.642
179,544.069
180,547.5
181,550.935
182,554.374
183,557.818
184,561.265
185,564.718
186,568.173
187,571.634
188,575.098
189,578.566
190,582.039
191,585.515
192,588.996
193,592.481
194,595.97
195,599.464
196,602.961
197,606.463
198,609.969
199,613.478
200,616.992
201,620.51
202,624.033
203,627.559
204,631.09
205,634.625
206,638.164
207,641.707
208,645.254
209,648.805
210,652.361
211,655.92
212,659.484
213,663.052
214,666.624
215,670.2
216,673.781
217,677.365
218,680.954
219,684.547
220,688.144
221,691.745
222,695.35
223,698.96
224,702.573
225,706.191
226,709.813
227,713.439
228,717.069
229,720.703
230,724.342
231,727.984
232,731.631
233,735.282
234,738.937
235,742.596
236,746.26
237,749.927
238,753.598
239,757.274
240,760.954
241,764.638
242,768.326
243,772.019
244,775.715
245,779.416
246,783.12
247,786.83
248,790.542
249,794.26
250,797.981
251,801.707
252,805.436
253,809.17
254,812.908
255,816.65
256,820.396
257,824.147
258,827.901
259,831.66
260,835.423
261,839.19
262,842.961
263,846.737
264,850.516
265,854.3
266,858.087
267,861.879
268,865.675
269,869.475
270,873.279
271,877.088
272,880.9
273,884.718
274,888.538
275,892.363
276,896.192
277,900.026
278,903.863
279,907.705
280,911.551
281,915.401
282,919.255
283,923.113
284,926.975
285,930.842
286,934.712
287,938.587
288,942.466
289,946.349
290,950.237
291,954.128
292,958.024
293,961.923
294,965.827
295,969.735
296,973.647
297,977.563
298,981.484
299,985.408
300,989.337
301,993.27
302,997.207
303,1001.148
304,1005.094
305,1009.043
306,1012.997
307,1016.954
308,1020.916
309,1024.882
310,1028.853
311,1032.827
312,1036.805
313,1040.788
314,1044.775
315,1048.765
316,1052.761
317,1056.76
318,1060.763
319,1064.771
320,1068.783
321,1072.798
322,1076.818
323,1080.842
324,1084.871
325,1088.903
326,1092.94
327,1096.98
328,1101.025
329,1105.074
330,1109.127
331,1113.184
332,1117.246
333,1121.311
334,1125.381
335,1129.455
336,1133.533
337,1137.615
338,1141.701
339,1145.792
340,1149.886
341,1153.985
342,1158.088
343,1162.195
344,1166.306
345,1170.422
346,1174.541
347,1178.665
348,1182.792
349,1186.924
350,1191.06
351,1195.201
352,1199.345
353,1203.494
354,1207.646
355,1211.803
356,1215.964
357,1220.129
358,1224.298
359,1228.472
360,1232.649
361,1236.831
362,1241.016
