level,list_-5.0,list_-4.5,list_-4.0,list_-3.5,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0,list_3.5,list_4.0,list_4.5,list_5.0
0,15.4,13.8,12.1,10.5,8.9,7.4,,4.4,2.9,1.4,0,1.4,2.9,4.4,5.9,7.4,8.9,10.5,12.1,13.8,15.4
1,14.98,13.38,11.69,10.09,8.5,7,5.52,4.05,2.62,1.26,0,1.26,2.62,4.05,5.52,7,8.5,10.09,11.69,13.38,14.98
2,14.56,12.96,11.28,9.68,8.1,6.6,5.14,3.7,2.34,1.12,0,1.12,2.34,3.7,5.14,6.6,8.1,9.68,11.28,12.96,14.56
3,14.14,12.54,10.87,9.27,7.7,6.2,4.76,3.35,2.06,0.98,0,0.98,2.06,3.35,4.76,6.2,7.7,9.27,10.87,12.54,14.14
4,13.72,12.12,10.46,8.86,7.3,5.8,4.38,3,1.78,0.84,0,0.84,1.78,3,4.38,5.8,7.3,8.86,10.46,12.12,13.72
5,13.3,11.7,10.05,8.45,6.9,5.4,4,2.65,1.5,0.7,0,0.7,1.5,2.65,4,5.4,6.9,8.45,10.05,11.7,13.3
6,12.88,11.28,9.64,8.04,6.5,5,3.62,2.3,1.22,0.56,0,0.56,1.22,2.3,3.62,5,6.5,8.04,9.64,11.28,12.88
7,12.46,10.86,9.23,7.63,6.1,4.6,3.24,1.95,0.94,0.42,0,0.42,0.94,1.95,3.24,4.6,6.1,7.63,9.23,10.86,12.46
8,12.04,10.44,8.82,7.22,5.7,4.2,2.86,1.6,0.66,0.28,0,0.28,0.66,1.6,2.86,4.2,5.7,7.22,8.82,10.44,12.04
9,11.62,10.02,8.41,6.81,5.3,3.8,2.48,1.25,0.38,0.14,0,0.14,0.38,1.25,2.48,3.8,5.3,6.81,8.41,10.02,11.62
10,11.2,9.6,8,6.4,4.9,3.4,2.1,0.9,0.1,0,0,0,0.1,0.9,2.1,3.4,4.9,6.4,8,9.6,11.2
11,10.87,9.27,7.69,6.11,4.64,3.18,1.94,0.83,0.1,0,0,0,0.1,0.83,1.94,3.18,4.64,5.94,7.69,9.27,10.87
12,10.54,8.94,7.38,5.82,4.38,2.96,1.78,0.76,0.1,0,0,0,0.1,0.76,1.78,2.96,4.38,5.48,7.38,8.94,10.54
13,10.21,8.61,7.07,5.53,4.12,2.74,1.62,0.69,0.1,0,0,0,0.1,0.69,1.62,2.74,4.12,5.02,7.07,8.61,10.21
14,9.88,8.28,6.76,5.24,3.86,2.52,1.46,0.62,0.1,0,0,0,0.1,0.62,1.46,2.52,3.86,4.56,6.76,8.28,9.88
